id;n;cat;need;zone;stat;wt;desc;reg;prog;alt
gobletsquat;Goblet squat;STRENGTH;kb;knie;power;mid;KB tegen de borst, voeten schouderbreed. Zak tot ellebogen de knieen raken, hielen op de grond.;Bodyweight squat naar stoel;Zwaardere KB of tempo (3 sec zakken);
bwsquat;Bodyweight squat;STRENGTH;geen;knie;power;;Voeten schouderbreed, armen vooruit als tegengewicht. Diep zakken, rug lang houden.;Squat naar stoel (hoger);Rugzak met boeken aan / tempo;
kbdl;KB deadlift;STRENGTH;kb;rug;power;heavy;KB tussen de voeten. Heupen naar achter, rug lang, KB langs de benen omhoog drukken.;Hip hinge met handdoek;Zwaardere KB / single-leg deadlift;
hinge;Hip hinge (handdoek);STRENGTH;geen;rug;power;;Handdoek strak achter de rug. Heupen naar achter duwen, romp kantelt, rug blijft lang.;Kleinere bewegingsrange;Overgaan naar KB deadlift;
swing;KB swing;STRENGTH;kb;rug;power;heavy;EERST techniek onder de knie (hinge!). Kracht komt uit de heupen, armen zijn touwen.;KB deadlift + hip pop;Zwaardere KB / one-arm swing;
pushup;Push-up;STRENGTH;geen;schouder;power;;Handen onder de schouders, lichaam als plank. Borst tot net boven de grond.;Op knieen of tegen tafel;Voeten op stoel / tempo push-up;
bandrow;Band row;STRENGTH;band;schouder;power;;Band om vast punt. Trek ellebogen langs het lichaam naar achter, schouderbladen knijpen.;Lichtere band;Zwaardere band / one-arm KB row;
kbrow;One-arm KB row;STRENGTH;kb;rug;power;mid;Steun met een hand op stoel. Trek KB naar de heup, romp stil houden.;Band row;Zwaardere KB / pauze bovenaan;
press;Overhead press;STRENGTH;kb|band;schouder;power;light;KB of band vanaf schouderhoogte recht omhoog drukken. Buikspieren aanspannen, niet doorbuigen.;Zittend / lichtere band;Zwaardere KB / push press (met beenzwaai);
lunge;Lunges (rugzak);STRENGTH;geen;knie;power;;Grote stap vooruit, achterste knie richting grond. Romp rechtop, rugzak aan voor extra last.;Split squat met steun;Walking lunges / zwaardere rugzak;
runint;Run/walk intervallen;CONDITIONING;run;;speed;;Afwisselend 1 min lopen, 1 min wandelen. Tempo waarop je nog nét kan praten.;Sneller wandelen i.p.v. lopen;2 min lopen / 1 min wandelen;
shuttle;Shuttle runs;CONDITIONING;run;knie;speed;;10-20 m heen en weer sprinten, aantikken bij elk keerpunt. Gang, tuin of straat.;Stevig doorstappen;Langere afstand / meer herhalingen;
trapint;Trap-intervallen;CONDITIONING;trap;knie;speed;;30 sec op-af de trap, 30 sec rust. Leuning mag voor balans.;Trager tempo, leuning vast;2 treden tegelijk (voorzichtig);
march;Marcheren met hoge knieen;CONDITIONING;geen;;speed;;Ter plaatse marcheren met hoge knieen en actieve armen. Simpel maar effectief als warming-up of cardio wanneer je geen ruimte of trap hebt.;Rustiger tempo, lagere knieen;Hoger tempo / knieheffen met sprongetje;
burpee;Burpees;HYROX;geen;knie;grit;;Naar plank, borst op de grond, terug omhoog en springen. De klassieker die iedereen haat.;Zonder sprong / step-back;Burpee broad jump (sprong voorwaarts);
carry;Farmer carry;HYROX;geen;;grit;heavy;KB of zware rugzak in de hand(en), rechtop wandelen. Schouders laag, core aan.;Lichter / kortere afstand;2 KBs tegelijk / langere afstand;
sled;Handdoek-sled drag;HYROX;geen;rug;grit;;Gewicht op een handdoek, over gladde vloer trekken of duwen. Thuis-versie van de sled.;Minder gewicht erop;Meer gewicht / achteruit trekken;
wallball;Squat-to-press;HYROX;geen;schouder;grit;light;Squat met KB/rugzak tegen de borst, bij het opkomen doordrukken tot boven het hoofd.;Alleen de squat;Zwaarder / op tempo (wall ball ritme);
stepup;Step-ups;HYROX;geen;knie;grit;;Op een stevige stoel of traptrede stappen, afwisselend been. Rustig en gecontroleerd.;Lagere trede;Rugzak aan / hoger opstapvlak;
hips;Heupen: 90/90 + couch stretch;MOBILITY;geen;;mobility;;90/90 zit: beide knieen 90 graden, wissel van kant. Couch stretch: knie tegen muur/zetel.;—;Langer aanhouden (2 min/kant);
ankles;Enkels: knee-to-wall + calf raises;MOBILITY;geen;;mobility;;Knie naar muur duwen zonder hiel te lossen. Calf raises van een traptrede voor kuiten.;—;Single-leg calf raises;
shoulders;Schouders: pull-aparts + wall slides;MOBILITY;geen;;mobility;;Band voor de borst uit elkaar trekken. Wall slides: armen langs de muur op en neer.;—;Zwaardere band / meer reps;
core;Core: dead bug + bird dog + plank;MOBILITY;geen;;mobility;;Dead bug: rugligging, arm+been gestrekt wegbrengen. Bird dog: zelfde op handen en knieen.;Kortere holds;Langere holds / side plank erbij;
splitsquat;Bulgaarse split squat;STRENGTH;geen;knie;power;;Achterste voet op stoel, zak recht naar beneden op het voorste been. Rugzak/KB voor extra last.;Split squat zonder verhoging;Zwaardere rugzak / KB in hand;
gobletbox;Box squat (stoel);STRENGTH;geen;knie;power;;Zak tot je licht op een stoel tikt, dan krachtig omhoog. Leert diepte en controle.;Hogere zit;Tempo / KB tegen borst;
sldl;Single-leg deadlift;STRENGTH;geen;rug;power;;Op een been, romp kantelt naar voor terwijl het andere been achteruit strekt. Balans + achterketen.;Vingertoppen op stoel voor balans;KB in tegengestelde hand;
pikepush;Pike push-up;STRENGTH;geen;schouder;power;;Omgekeerde V, hoofd zakt richting grond tussen de handen. Meer schouder dan borst.;Handen op verhoging;Voeten op stoel;
declpush;Verhoogde push-up (voeten op stoel);STRENGTH;geen;schouder;power;;Voeten op een stoel, meer belasting op de borst en schouders.;Gewone push-up;Tempo / pauze onderaan;
bandpull;Band face-pull;STRENGTH;band;schouder;power;;Band op ooghoogte, trek naar je gezicht met hoge ellebogen. Top voor schoudergezondheid.;Lichtere band;Pauze bij het gezicht;
highknee;High knees op tempo;CONDITIONING;geen;;speed;;Snelle knieheffingen ter plaatse, zo hoog en snel mogelijk. Cardio zonder ruimte.;Trager, lagere knieen;Langere intervallen;
jumpingjack;Jumping jacks;CONDITIONING;geen;;speed;;Klassieke sprong met armen en benen open/dicht. Simpel opwarmertje of cardioblok.;Step-jacks zonder sprong;Sneller / langer;
mountain;Mountain climbers;HYROX;geen;;grit;;Plankpositie, knieen afwisselend snel naar de borst. Core + cardio ineen.;Trager tempo;Sneller / langer volhouden;
lunge2;Reverse lunges;HYROX;geen;knie;grit;;"Stap achteruit i.p.v. vooruit; zachter voor de knie. Rugzak voor last.";Vasthouden aan steun;Rugzak / wandelend;
squathold;Wall sit;HYROX;geen;knie;grit;;Rug tegen de muur, zit op onzichtbare stoel, dijen horizontaal. Volhouden.;Hoekje minder diep;Langer / gewicht op schoot;
